Time,Water Temp,Water_level
2024-06-23 15:00:00,17.282500000000002,1.6454111111111112
2024-06-23 18:00:00,17.365833333333335,1.8625444444444446
2024-06-23 21:00:00,17.260625,1.7317875
2024-06-24 00:00:00,17.2325,1.6327777777777779
2024-06-24 03:00:00,17.299166666666665,1.6452777777777776
2024-06-24 06:00:00,17.3075,1.7096875
2024-06-24 09:00:00,17.245,1.6029166666666665
2024-06-24 12:00:00,17.243214285714288,1.5175
2024-06-24 15:00:00,17.340833333333332,1.6064555555555555
2024-06-24 18:00:00,17.3825,1.8097666666666667
2024-06-24 21:00:00,17.3075,1.6772222222222222
2024-06-25 00:00:00,17.290833333333335,1.5688888888888888
2024-06-25 03:00:00,17.32416666666667,1.5911111111111111
2024-06-25 06:00:00,17.3325,1.666111111111111
2024-06-25 09:00:00,17.3825,1.5716666666666665
2024-06-25 12:00:00,17.3075,1.4841666666666666
2024-06-25 15:00:00,17.399166666666666,1.553611111111111
2024-06-25 18:00:00,17.499166666666667,1.7637333333333334
2024-06-25 21:00:00,17.34916666666667,1.6327777777777779
2024-06-26 00:00:00,17.374166666666667,1.5216666666666667
2024-06-26 03:00:00,17.390833333333333,1.5355555555555556
2024-06-26 06:00:00,17.399166666666666,1.5841666666666667
2024-06-26 09:00:00,17.340833333333332,1.527222222222222
2024-06-26 12:00:00,17.3075,1.4534777777777779
2024-06-26 15:00:00,17.432499999999997,1.5383333333333333
2024-06-26 18:00:00,17.524166666666666,1.748388888888889
2024-06-26 21:00:00,17.42,1.6409375
2024-06-27 00:00:00,17.3825,1.516111111111111
2024-06-27 03:00:00,17.415833333333335,1.527222222222222
2024-06-27 06:00:00,17.4575,1.5911111111111111
2024-06-27 09:00:00,17.4075,1.53
